旧绝对路径,新绝对路径,归类理由,日期依据,提交依据,内容是否改变,处理状态
/home/fpga/fpga/pmux-opt/results/baseline/,/home/fpga/fpga/pmux-opt/results/01_基础基线_baseline/,基础资源基线原件（test1-4 JSON/log、perf 3 次、baseline_summary.csv），重命名分类目录，内容保持完整,2026-09-17（文件 mtime；与基线提交同日）,b600a03（Merge PMUX validation baseline）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/benchmark_environment.txt,/home/fpga/fpga/pmux-opt/results/01_基础基线_baseline/benchmark_environment.txt,环境记录（OS/Yosys/EQY/Z3 版本），保留文件名移入基线分类,2026-09-17（mtime）,—（环境快照，非算法提交）,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/equivalence/,/home/fpga/fpga/pmux-opt/results/01_基础基线_baseline/02_基础等价检查_equivalence/,基础等价自检日志（EQY：4/4 PASS + negative FAIL rc=2），核对确为基础自检而非调试批,2026-09-17 18:02（日志内 EQY 时间戳）,871d0fb 时期（其后 02a64ea 18:04 提交）,不变（仅移动）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/identity-test2/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检test2_提交待确认_第01轮/,等价自检（identity，test2；统一评测框架调试期）,2026-09-18（mtime；框架开发期）,提交待确认（无 manifest；运行于 e984a59 前）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/identity-test2/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检test2_提交待确认_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/identity-all-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检全例_提交待确认_第01轮/,等价自检（identity，test1-4 全例）,2026-09-18（mtime）,提交待确认（无 manifest；框架开发期）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/identity-all-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_等价自检全例_提交待确认_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
/home/fpga/fpga/pmux-opt/results/official_eval/smoke-test2-v1/,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test2初步检查_b600a03_第01轮/,test2 初步检查 v1（smoke）,2026-09-18（mtime）,b600a03（manifest project_commit）,不变（仅目录改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/smoke-test2-v1/summary.md,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test2初步检查_b600a03_第01轮/公开资源汇总.md,供人阅读报告：公开评测汇总表（机器版 summary.csv/json 保留原名）,2026-09-18（mtime）,b600a03（manifest project_commit）,不变（仅改名）,已完成
/home/fpga/fpga/pmux-opt/results/official_eval/smoke-test2-v1/轮次说明.md（新增）,/home/fpga/fpga/pmux-opt/results/02_公开评测_public_eval/2026-09-18_test2初步检查_b600a03_第01轮/轮次说明.md,新增简短轮次说明（原轮次名、来源、流程标签、报告入口）,2026-09-20（整理日）,—,新增文件,已新增
