name,kind,ctrl_width,lane_width,width,banks,variant,expect,expect_verdict,baseline_total,optimized_total,baseline_comb,optimized_comb,h2_candidate,h2_rebuilt,optimized_check,c1_local_state,c1_local_proved,c2_stage_state,c2_stage_proved,ref_check_state,rtl_sha256
h2p_c3_lw1,positive,3,1,4,2,basic,H2_TRIGGER,OK,28,12,28,12,1,1,True,PASS,41/41,PASS,41/41,PASS,2531d3b92bd97f520f7d67ca574a9992e37948af7c41e2f7fbd45eff794c4074
h2p_c3_lw2,positive,3,2,8,2,basic,H2_TRIGGER,OK,48,24,48,24,1,1,True,PASS,81/81,PASS,81/81,PASS,d418c77fd35ab94dd2b4f8b3ebdb149054e77c8cea45a74ca8e7ff6f3696efa6
h2p_c3_lw4,positive,3,4,16,2,basic,H2_TRIGGER,OK,88,48,88,48,1,1,True,PASS,161/161,PASS,161/161,PASS,1557da5076b33d63b62371c903f0437d9acefa01723a3a7496903b6de679cbfe
h2p_c4_lw1,positive,4,1,4,4,basic,H2_TRIGGER,OK,60,20,60,20,1,1,True,PASS,81/81,PASS,81/81,PASS,31502ac73a49af8c256c279bccdea7de9ba82ef5e4809dc9822e3dc2860d6e01
h2p_c4_lw2,positive,4,2,8,4,basic,H2_TRIGGER,OK,104,40,104,40,1,1,True,PASS,161/161,PASS,161/161,PASS,c8e8ddbc4b77388b3460c5522917c163b0639303389e45e4e1e9058d942d43c9
h2p_c4_lw4,positive,4,4,16,4,basic,H2_TRIGGER,OK,192,80,192,80,1,1,True,PASS,321/321,PASS,321/321,PASS,3003714610b23bde137219360f0cc08b4e78649b34d6fd65fde84eeacb6a2948
h2p_c4_lw8,positive,4,8,32,4,basic,H2_TRIGGER,OK,368,160,368,160,1,1,True,PASS,641/641,PASS,641/641,PASS,bd61c3306c53b2e9413d6e351e216bc3ac0bc2edf8a521d2b71b722f06b7170a
h2p_c5_lw2,positive,5,2,8,8,basic,H2_TRIGGER,OK,207,64,207,64,1,1,True,PASS,321/321,PASS,321/321,PASS,cc13e8dd96f1a4a2d15c272b055260c1de48fbead102cf5718a48210612462e6
h2p_c5_lw4,positive,5,4,16,8,basic,H2_TRIGGER,OK,375,128,375,128,1,1,True,PASS,641/641,PASS,641/641,PASS,53b49007775981153c631efde22f42431f0ce425d5d31fa755a97bd335ccc68d
h2p_c4_lw2_shuffled,positive,4,2,8,4,shuffled,H2_TRIGGER,OK,104,40,104,40,1,1,True,PASS,161/161,PASS,161/161,PASS,68d158d8dcbc6a56250a5aea075bbd6a1abb06c63e8ac68677104f8cbd97573f
h2n_wrong_rotation,reject,4,2,8,4,wrong_rotation,H2_REJECT,OK,76,76,76,76,0,0,True,PASS,161/161,PASS,161/161,,babfb186c1809e45e5ca82452826ba8cad4734e61148ab1c31ef716cd611d200
h2n_partial_decode,reject,4,2,8,4,partial_decode,H2_REJECT,OK,103,103,103,103,0,0,True,PASS,161/161,PASS,161/161,,989eb9190a192819889acb0a96679bff0f6258aef0789eac4eaeb59fb9aeb99a
h2n_no_rotation,reject,3,2,8,2,no_rotation,H2_REJECT,OK,8,8,8,8,0,0,True,PASS,81/81,PASS,81/81,,f52c80a295de259d15c3a959a148737682959da9b0bccc7794dca470e4681a01
h2n_xz_data,reject,3,2,8,2,xz_data,H2_REJECT,OK,46,46,46,46,0,0,True,PASS,81/81,PASS,81/81,,7f4b3be50ad45edbec2737997f452c453463c3c50a308d1af8eb243c408bd228
h2n_width_not_div4,reject,4,,6,,width_not_div4,H2_REJECT,OK,82,82,82,82,0,0,True,PASS,1/1,PASS,1/1,,321782ff0b859f23e0e75d6d00aeef06f691bf3550535cb9f99a38e313afe3ef
h2n_ctrl2,reject,2,2,8,1,ctrl_width_below,H2_REJECT,OK,0,0,0,0,0,0,True,PASS,41/41,PASS,41/41,,3dd55989431fc88ad9292033a4a690e4f243b9e7fb4d259ee365aa16e34841f4
h2n_diff_control,reject,4,2,8,,different_control,H2_REJECT_OR_OTHER_PATTERN,OK,56,56,56,56,0,0,True,PASS,66/66,PASS,66/66,,9aaec60781debdb8d5d13b6ddf76d9e56991d5b9e12045d411726900f027806f
h2n_non_target,reject,1,,8,,non_target_mux,H2_REJECT,OK,8,8,8,8,0,0,True,PASS,1/1,PASS,1/1,,013e4db105d7f5c0de9e432df87970b894bcb0610f12f127a298e8bd4d4b6074
h2p_c10_lw1,positive,10,1,4,256,ctrl_width_max_inside,H2_TRIGGER,OK,5000,944,5000,944,1,1,True,PASS,5121/5121,PASS,5121/5121,,78d470048d02ffc52310ef23a4f092883e4003cb6a4f9f30055b92da34479d6b
h2n_ctrl11,reject,11,1,4,512,ctrl_width_above,H2_REJECT,OK,11240,11240,11240,11240,0,0,True,PASS,10241/10241,PASS,10241/10241,,0bf716a8361581f5b05a990987c0573947493c76d1185856da802e944e447939
