case,chain,partition,status_v3DF,x_DF,probe_DF,x_noDF,probe_noDF,status_noDF,base_fail_len,induct_success
test1,c4a_rtl_opt_mapped,test1.i0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.i7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0007_out,PASS,N,PREMISES_SAT,N,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.10,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.11,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.8,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0008_out.9,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.10,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.11,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.8,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.inter0009_out.9,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.por6_out,PASS,N,PREMISES_SAT,N,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.q7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4a_rtl_opt_mapped,test1.state,PASS,N,PREMISES_SAT,N,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.i7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0007_out,PASS,N,PREMISES_SAT,N,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.10,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.11,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.8,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0008_out.9,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.10,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.11,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.8,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.inter0009_out.9,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.por6_out,PASS,N,PREMISES_SAT,N,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q0,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q1,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q2,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q3,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q4,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q5,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q6,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.q7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test1,c4b_rtl_base_mapped,test1.state,PASS,N,PREMISES_SAT,N,PREMISES_SAT,PASS,,True
test2,c4a_rtl_opt_mapped,test2.out,PASS,-,PREMISES_SAT,-,PREMISES_SAT,PASS,,True
test2,c4b_rtl_base_mapped,test2.out,PASS,-,PREMISES_SAT,-,PREMISES_SAT,PASS,,True
test3,c4a_rtl_opt_mapped,test3.gpioout,UNKNOWN,Y,PREMISES_UNSAT,Y,PREMISES_SAT,FAIL,2,False
test3,c4a_rtl_opt_mapped,test3.rw,FAIL,N,PREMISES_SAT,N,PREMISES_SAT,FAIL,1,False
test3,c4a_rtl_opt_mapped,test3.sr,UNKNOWN,Y,PREMISES_UNSAT,Y,PREMISES_SAT,FAIL,2,False
test3,c4a_rtl_opt_mapped,test3.sr_out,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,FAIL,2,False
test3,c4b_rtl_base_mapped,test3.gpioout,UNKNOWN,Y,PREMISES_UNSAT,Y,PREMISES_SAT,FAIL,2,False
test3,c4b_rtl_base_mapped,test3.rw,FAIL,N,PREMISES_SAT,N,PREMISES_SAT,FAIL,1,False
test3,c4b_rtl_base_mapped,test3.sr,UNKNOWN,Y,PREMISES_UNSAT,Y,PREMISES_SAT,FAIL,2,False
test3,c4b_rtl_base_mapped,test3.sr_out,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,FAIL,2,False
test4,c4a_rtl_opt_mapped,test4.data_dn,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4a_rtl_opt_mapped,test4.data_dp,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4a_rtl_opt_mapped,test4.datain_5bis7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4a_rtl_opt_mapped,test4.dataout,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4a_rtl_opt_mapped,test4.only_5b,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4b_rtl_base_mapped,test4.data_dn,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4b_rtl_base_mapped,test4.data_dp,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4b_rtl_base_mapped,test4.datain_5bis7,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4b_rtl_base_mapped,test4.dataout,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
test4,c4b_rtl_base_mapped,test4.only_5b,PASS,Y,PREMISES_UNSAT,Y,PREMISES_SAT,PASS,,True
